05/10/2014 00:00:01

Title: gh2
TrendLog: c:\cmdstn\trendlog\gh2\gh2_1.tlg
Data File: c:\cmdstn\trendlog\gh2\gh2_1.tdt

"Date Time","50-AI-102 ppm","50-AI-103 °C","","","","","","","","","","","","","","","","","","",
"27/09/2014 08:49","541.0","24.3","","","","","","","","","","","","","","","","","","",
"27/09/2014 09:04","525.0","24.7","","","","","","","","","","","","","","","","","","",
"27/09/2014 09:19","556.5","24.5","","","","","","","","","","","","","","","","","","",
"27/09/2014 09:34","541.0","24.3","","","","","","","","","","","","","","","","","","",
"27/09/2014 09:49","533.0","25.8","","","","","","","","","","","","","","","","","","",
"27/09/2014 10:04","541.0","24.9","","","","","","","","","","","","","","","","","","",
"27/09/2014 10:19","549.0","26.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 10:34","549.0","26.0","","","","","","","","","","","","","","","","","","",
"27/09/2014 10:49","549.0","26.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 11:04","541.0","25.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 11:19","541.0","24.9","","","","","","","","","","","","","","","","","","",
"27/09/2014 11:34","533.0","27.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 11:49","533.0","26.0","","","","","","","","","","","","","","","","","","",
"27/09/2014 12:04","533.0","27.0","","","","","","","","","","","","","","","","","","",
"27/09/2014 12:19","541.0","29.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 12:34","533.0","27.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 12:49","533.0","26.6","","","","","","","","","","","","","","","","","","",
"27/09/2014 13:04","533.0","27.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 13:19","517.5","28.0","","","","","","","","","","","","","","","","","","",
"27/09/2014 13:34","525.0","28.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 13:49","533.0","28.6","","","","","","","","","","","","","","","","","","",
"27/09/2014 14:04","525.0","27.6","","","","","","","","","","","","","","","","","","",
"27/09/2014 14:19","525.0","26.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 14:34","525.0","27.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 14:49","525.0","25.8","","","","","","","","","","","","","","","","","","",
"27/09/2014 15:04","533.0","26.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 15:19","525.0","25.0","","","","","","","","","","","","","","","","","","",
"27/09/2014 15:34","525.0","24.7","","","","","","","","","","","","","","","","","","",
"27/09/2014 15:49","525.0","24.9","","","","","","","","","","","","","","","","","","",
"27/09/2014 16:04","525.0","24.5","","","","","","","","","","","","","","","","","","",
"27/09/2014 16:19","525.0","24.1","","","","","","","","","","","","","","","","","","",
"27/09/2014 16:34","517.5","23.7","","","","","","","","","","","","","","","","","","",
"27/09/2014 16:49","525.0","23.3","","","","","","","","","","","","","","","","","","",
"27/09/2014 17:04","517.5","23.3","","","","","","","","","","","","","","","","","","",
"27/09/2014 17:19","517.5","22.7","","","","","","","","","","","","","","","","","","",
"27/09/2014 17:34","509.5","23.1","","","","","","","","","","","","","","","","","","",
"27/09/2014 17:49","517.5","22.9","","","","","","","","","","","","","","","","","","",
"27/09/2014 18:04","501.5","19.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 18:19","454.5","17.6","","","","","","","","","","","","","","","","","","",
"27/09/2014 18:34","392.0","17.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 18:49","345.0","16.8","","","","","","","","","","","","","","","","","","",
"27/09/2014 19:04","352.5","16.6","","","","","","","","","","","","","","","","","","",
"27/09/2014 19:19","360.5","16.8","","","","","","","","","","","","","","","","","","",
"27/09/2014 19:34","368.5","16.6","","","","","","","","","","","","","","","","","","",
"27/09/2014 19:49","368.5","16.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 20:04","376.0","16.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 20:19","376.0","16.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 20:34","376.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 20:49","384.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 21:04","384.0","16.4","","","","","","","","","","","","","","","","","","",
"27/09/2014 21:19","392.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 21:34","392.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 21:49","392.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 22:04","392.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 22:19","392.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 22:34","384.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 22:49","384.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 23:04","376.0","16.2","","","","","","","","","","","","","","","","","","",
"27/09/2014 23:19","376.0","16.0","","","","","","","","","","","","","","","","","","",
"27/09/2014 23:34","384.0","16.0","","","","","","","","","","","","","","","","","","",
"27/09/2014 23:49","384.0","16.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 00:04","384.0","15.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 00:19","384.0","15.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 00:34","384.0","15.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 00:49","376.0","15.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 01:04","376.0","15.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 01:19","376.0","15.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 01:34","384.0","15.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 01:49","384.0","15.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 02:04","376.0","15.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 02:19","384.0","15.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 02:34","384.0","15.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 02:49","392.0","15.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 03:04","384.0","15.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 03:19","392.0","15.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 03:34","392.0","15.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 03:49","392.0","15.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 04:04","400.0","15.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 04:19","400.0","15.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 04:34","392.0","16.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 04:49","384.0","16.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 05:04","376.0","15.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 05:19","376.0","15.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 05:34","376.0","15.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 05:49","384.0","15.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 06:04","392.0","18.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 06:19","439.0","20.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 06:34","494.0","21.1","","","","","","","","","","","","","","","","","","",
"28/09/2014 06:49","494.0","21.7","","","","","","","","","","","","","","","","","","",
"28/09/2014 07:04","533.0","22.3","","","","","","","","","","","","","","","","","","",
"28/09/2014 07:19","533.0","22.1","","","","","","","","","","","","","","","","","","",
"28/09/2014 07:34","533.0","22.9","","","","","","","","","","","","","","","","","","",
"28/09/2014 07:49","525.0","23.1","","","","","","","","","","","","","","","","","","",
"28/09/2014 08:04","533.0","23.3","","","","","","","","","","","","","","","","","","",
"28/09/2014 08:19","541.0","25.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 08:34","525.0","24.7","","","","","","","","","","","","","","","","","","",
"28/09/2014 08:49","525.0","24.5","","","","","","","","","","","","","","","","","","",
"28/09/2014 09:04","525.0","24.7","","","","","","","","","","","","","","","","","","",
"28/09/2014 09:19","525.0","24.7","","","","","","","","","","","","","","","","","","",
"28/09/2014 09:34","533.0","25.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 09:49","533.0","25.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 10:04","533.0","25.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 10:19","541.0","26.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 10:34","533.0","25.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 10:49","541.0","26.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 11:04","525.0","27.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 11:19","533.0","27.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 11:34","541.0","26.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 11:49","525.0","26.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 12:04","533.0","27.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 12:19","549.0","29.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 12:34","533.0","28.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 12:49","541.0","28.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 13:04","533.0","28.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 13:19","525.0","28.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 13:34","541.0","27.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 13:49","533.0","26.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 14:04","525.0","27.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 14:19","525.0","27.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 14:34","533.0","27.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 14:49","533.0","26.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 15:04","541.0","27.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 15:19","541.0","25.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 15:34","549.0","26.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 15:49","541.0","25.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 16:04","541.0","24.9","","","","","","","","","","","","","","","","","","",
"28/09/2014 16:19","541.0","24.5","","","","","","","","","","","","","","","","","","",
"28/09/2014 16:34","533.0","24.5","","","","","","","","","","","","","","","","","","",
"28/09/2014 16:49","533.0","23.7","","","","","","","","","","","","","","","","","","",
"28/09/2014 17:04","533.0","23.5","","","","","","","","","","","","","","","","","","",
"28/09/2014 17:19","533.0","23.7","","","","","","","","","","","","","","","","","","",
"28/09/2014 17:34","525.0","23.5","","","","","","","","","","","","","","","","","","",
"28/09/2014 17:49","525.0","23.1","","","","","","","","","","","","","","","","","","",
"28/09/2014 18:04","525.0","19.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 18:19","478.0","18.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 18:34","415.5","17.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 18:49","360.5","17.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 19:04","352.5","17.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 19:19","360.5","17.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 19:34","368.5","17.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 19:49","368.5","17.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 20:04","376.0","17.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 20:19","376.0","17.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 20:34","368.5","16.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 20:49","376.0","16.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 21:04","376.0","16.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 21:19","376.0","17.0","","","","","","","","","","","","","","","","","","",
"28/09/2014 21:34","376.0","16.8","","","","","","","","","","","","","","","","","","",
"28/09/2014 21:49","376.0","16.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 22:04","376.0","16.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 22:19","376.0","16.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 22:34","384.0","16.2","","","","","","","","","","","","","","","","","","",
"28/09/2014 22:49","376.0","16.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 23:04","376.0","16.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 23:19","376.0","16.4","","","","","","","","","","","","","","","","","","",
"28/09/2014 23:34","376.0","16.6","","","","","","","","","","","","","","","","","","",
"28/09/2014 23:49","376.0","16.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 00:04","368.5","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 00:19","368.5","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 00:34","368.5","16.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 00:49","376.0","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 01:04","368.5","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 01:19","368.5","16.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 01:34","368.5","16.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 01:49","368.5","16.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 02:04","368.5","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 02:19","368.5","16.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 02:34","376.0","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 02:49","384.0","16.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 03:04","376.0","16.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 03:19","368.5","16.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 03:34","368.5","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 03:49","368.5","16.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 04:04","368.5","16.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 04:19","368.5","16.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 04:34","368.5","16.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 04:49","368.5","17.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 05:04","368.5","17.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 05:19","368.5","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 05:34","376.0","16.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 05:49","368.5","16.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 06:04","376.0","20.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 06:19","423.5","20.9","","","","","","","","","","","","","","","","","","",
"29/09/2014 06:34","454.5","21.7","","","","","","","","","","","","","","","","","","",
"29/09/2014 06:49","509.5","22.7","","","","","","","","","","","","","","","","","","",
"29/09/2014 07:04","525.0","22.9","","","","","","","","","","","","","","","","","","",
"29/09/2014 07:19","533.0","22.7","","","","","","","","","","","","","","","","","","",
"29/09/2014 07:34","541.0","23.7","","","","","","","","","","","","","","","","","","",
"29/09/2014 07:49","541.0","23.7","","","","","","","","","","","","","","","","","","",
"29/09/2014 08:04","556.5","24.5","","","","","","","","","","","","","","","","","","",
"29/09/2014 08:19","533.0","26.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 08:34","549.0","25.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 08:49","525.0","25.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 09:04","556.5","25.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 09:19","533.0","25.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 09:34","556.5","26.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 09:49","541.0","25.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 10:04","525.0","26.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 10:19","533.0","27.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 10:34","549.0","27.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 10:49","533.0","27.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 11:04","556.5","27.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 11:19","533.0","28.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 11:34","533.0","28.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 11:49","541.0","29.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 12:04","533.0","28.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 12:19","541.0","30.9","","","","","","","","","","","","","","","","","","",
"29/09/2014 12:34","533.0","27.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 12:49","533.0","29.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 13:04","517.5","27.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 13:19","517.5","27.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 13:34","525.0","28.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 13:49","533.0","29.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 14:04","525.0","28.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 14:19","525.0","27.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 14:34","517.5","27.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 14:49","525.0","27.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 15:04","525.0","28.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 15:19","525.0","28.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 15:34","525.0","26.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 15:49","525.0","27.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 16:04","533.0","26.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 16:19","533.0","26.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 16:34","533.0","25.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 16:49","509.5","25.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 17:04","501.5","25.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 17:19","517.5","25.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 17:34","525.0","24.7","","","","","","","","","","","","","","","","","","",
"29/09/2014 17:49","525.0","24.7","","","","","","","","","","","","","","","","","","",
"29/09/2014 18:04","525.0","19.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 18:19","486.0","19.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 18:34","415.5","18.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 18:49","376.0","18.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 19:04","352.5","17.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 19:19","360.5","18.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 19:34","376.0","18.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 19:49","384.0","17.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 20:04","400.0","17.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 20:19","392.0","17.4","","","","","","","","","","","","","","","","","","",
"29/09/2014 20:34","384.0","17.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 20:49","376.0","17.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 21:04","376.0","17.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 21:19","376.0","17.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 21:34","368.5","17.2","","","","","","","","","","","","","","","","","","",
"29/09/2014 21:49","368.5","17.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 22:04","376.0","17.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 22:19","384.0","17.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 22:34","384.0","17.0","","","","","","","","","","","","","","","","","","",
"29/09/2014 22:49","400.0","16.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 23:04","392.0","16.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 23:19","400.0","16.6","","","","","","","","","","","","","","","","","","",
"29/09/2014 23:34","400.0","16.8","","","","","","","","","","","","","","","","","","",
"29/09/2014 23:49","392.0","17.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 00:04","415.5","16.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 00:19","431.0","16.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 00:34","431.0","16.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 00:49","423.5","16.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 01:04","431.0","16.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 01:19","439.0","16.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 01:34","439.0","16.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 01:49","431.0","16.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 02:04","439.0","16.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 02:19","439.0","16.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 02:34","447.0","16.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 02:49","447.0","16.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 03:04","447.0","16.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 03:19","447.0","16.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 03:34","454.5","16.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 03:49","454.5","16.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 04:04","454.5","16.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 04:19","462.5","17.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 04:34","470.5","16.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 04:49","470.5","17.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 05:04","462.5","17.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 05:19","454.5","17.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 05:34","439.0","17.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 05:49","439.0","17.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 06:04","478.0","20.9","","","","","","","","","","","","","","","","","","",
"30/09/2014 06:19","517.5","22.3","","","","","","","","","","","","","","","","","","",
"30/09/2014 06:34","572.5","22.7","","","","","","","","","","","","","","","","","","",
"30/09/2014 06:49","549.0","22.5","","","","","","","","","","","","","","","","","","",
"30/09/2014 07:04","549.0","22.7","","","","","","","","","","","","","","","","","","",
"30/09/2014 07:19","549.0","23.3","","","","","","","","","","","","","","","","","","",
"30/09/2014 07:34","533.0","23.9","","","","","","","","","","","","","","","","","","",
"30/09/2014 07:49","564.5","24.3","","","","","","","","","","","","","","","","","","",
"30/09/2014 08:04","556.5","23.9","","","","","","","","","","","","","","","","","","",
"30/09/2014 08:19","541.0","25.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 08:34","525.0","25.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 08:49","549.0","25.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 09:04","556.5","25.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 09:19","541.0","25.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 09:34","549.0","25.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 09:49","533.0","25.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 10:04","541.0","26.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 10:19","541.0","25.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 10:34","541.0","25.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 10:49","541.0","25.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 11:04","541.0","25.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 11:19","533.0","26.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 11:34","533.0","26.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 11:49","533.0","25.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 12:04","541.0","26.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 12:19","541.0","29.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 12:34","549.0","30.9","","","","","","","","","","","","","","","","","","",
"30/09/2014 12:49","541.0","28.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 13:04","533.0","30.3","","","","","","","","","","","","","","","","","","",
"30/09/2014 13:19","533.0","27.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 13:34","533.0","29.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 13:49","541.0","28.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 14:04","541.0","27.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 14:19","541.0","26.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 14:34","541.0","27.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 14:49","533.0","28.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 15:04","533.0","27.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 15:19","533.0","26.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 15:34","533.0","27.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 15:49","525.0","27.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 16:04","533.0","26.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 16:19","525.0","26.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 16:34","525.0","26.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 16:49","533.0","25.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 17:04","517.5","25.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 17:19","509.5","25.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 17:34","525.0","25.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 17:49","517.5","24.5","","","","","","","","","","","","","","","","","","",
"30/09/2014 18:04","517.5","20.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 18:19","470.5","20.1","","","","","","","","","","","","","","","","","","",
"30/09/2014 18:34","407.5","18.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 18:49","368.5","19.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 19:04","345.0","19.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 19:19","337.0","18.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 19:34","352.5","18.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 19:49","352.5","18.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 20:04","360.5","18.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 20:19","368.5","17.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 20:34","368.5","17.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 20:49","368.5","17.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 21:04","376.0","17.8","","","","","","","","","","","","","","","","","","",
"30/09/2014 21:19","384.0","17.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 21:34","384.0","17.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 21:49","384.0","17.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 22:04","392.0","17.6","","","","","","","","","","","","","","","","","","",
"30/09/2014 22:19","400.0","17.2","","","","","","","","","","","","","","","","","","",
"30/09/2014 22:34","407.5","17.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 22:49","407.5","17.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 23:04","415.5","17.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 23:19","407.5","17.0","","","","","","","","","","","","","","","","","","",
"30/09/2014 23:34","400.0","17.4","","","","","","","","","","","","","","","","","","",
"30/09/2014 23:49","384.0","17.8","","","","","","","","","","","","","","","","","","",
"01/10/2014 00:04","368.5","17.6","","","","","","","","","","","","","","","","","","",
"01/10/2014 00:19","360.5","17.6","","","","","","","","","","","","","","","","","","",
"01/10/2014 00:34","360.5","18.2","","","","","","","","","","","","","","","","","","",
"01/10/2014 00:49","360.5","18.0","","","","","","","","","","","","","","","","","","",
"01/10/2014 01:04","360.5","17.6","","","","","","","","","","","","","","","","","","",
"01/10/2014 01:19","360.5","17.2","","","","","","","","","","","","","","","","","","",
